geocode_address	above_high	above_low	time
10 MILTON ST, NORMANPARK, BRISBANE	2.4	0.2	29/01/2013 11:00:00 AM
10 MORETON ST, NORMANPARK, BRISBANE	0.1	-6.5	29/01/2013 11:00:00 AM
10 NAVER ST, MIDDLEPARK, BRISBANE	1.1	-11.7	29/01/2013 8:00:00 AM
10 NEILL ST, PINKENBA, BRISBANE	0.6	-1.1	29/01/2013 11:00:00 AM
10 NINGANA ST, FIGTREEPOCKET, BRISBANE	3.8	-1.9	29/01/2013 9:25:00 AM
10 NORTHEY ST, WINDSOR, BRISBANE	0.5	-0.4	29/01/2013 11:00:00 AM
10 OSPREY DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM
10 OXFORD TCE, TARINGA, BRISBANE	0.2	-7	29/01/2013 10:30:00 AM
10 PETAL ST, HEMMANT, BRISBANE	0.7	-1	29/01/2013 11:00:00 AM
10 RAMSAY RD, HEMMANT, BRISBANE	0.3	0	29/01/2013 11:00:00 AM
10 RIVERBEND PL, BULIMBA, BRISBANE	0.2	-1.2	29/01/2013 11:00:00 AM
10 ROEDEAN ST, FIGTREEPOCKET, BRISBANE	4.4	-20.2	29/01/2013 9:30:00 AM
10 ROSS ST, NEWSTEAD, BRISBANE	0.2	-0.2	29/01/2013 11:00:00 AM
10 SCOTT ST, HAWTHORNE, BRISBANE	0.2	-2.6	29/01/2013 11:00:00 AM
10 SHOEBURY ST, ROCKLEA, BRISBANE	0.7	-0.3	29/01/2013 9:50:00 AM
10 SUNSET RD, KENMORE, BRISBANE	4.9	-51.4	29/01/2013 8:45:00 AM
10 SYDNEY ST, FAIRFIELD, BRISBANE	0.1	-3.8	29/01/2013 10:15:00 AM
10 TWIGG ST, INDOOROOPILLY, BRISBANE	2.1	-6	29/01/2013 9:35:00 AM
10 VINCENT ST, AUCHENFLOWER, BRISBANE	1.1	-0.2	29/01/2013 10:40:00 AM
10 WATERLOO ST, NEWSTEAD, BRISBANE	0.8	0	29/01/2013 11:00:00 AM
10 WENDELL ST, NORMANPARK, BRISBANE	2.5	-3.5	29/01/2013 11:00:00 AM
10 WITTONGA CT, KARANADOWNS, BRISBANE	12.2	-17.6	29/01/2013 5:10:00 PM
10 WYNNUM RD, NORMANPARK, BRISBANE	1.3	-4.1	29/01/2013 11:00:00 AM
10 WYUNA CT, HEMMANT, BRISBANE	0.1	-0.9	29/01/2013 11:00:00 AM
100 A NORTH QUAY, BRISBANECITY, BRISBANE	3.3	-11.5	29/01/2013 10:45:00 AM
100 ALBION RD, WINDSOR, BRISBANE	0.1	-1.1	29/01/2013 11:00:00 AM
100 BOUNDARY RD, OXLEY, BRISBANE	0.1	-9.6	29/01/2013 9:50:00 AM
100 BOWEN ST, WINDSOR, BRISBANE	0.2	0	29/01/2013 11:00:00 AM
100 GRAFTON ST, WINDSOR, BRISBANE	0.1	-0.5	29/01/2013 11:00:00 AM
100 LAYFIELD RD, ANSTEAD, BRISBANE	1.3	-7.7	29/01/2013 7:15:00 AM
100 LUTWYCHE RD, WINDSOR, BRISBANE	0.1	-2.3	29/01/2013 11:00:00 AM
100 MACQUARIE ST, STLUCIA, BRISBANE	1.3	-3.4	29/01/2013 10:25:00 AM
100 MAIN BEACH RD, PINKENBA, BRISBANE	0.4	-2	29/01/2013 11:00:00 AM
100 ROSEBERY TCE, CHELMER, BRISBANE	0.4	-6.5	29/01/2013 9:40:00 AM
100 RYAN ST, WESTEND, BRISBANE	0.4	-1.2	29/01/2013 10:25:00 AM
100 SKYLINE DR, KHOLO, BRISBANE	6.8	-14.2	30/01/2013 2:30:00 AM
100 SYDNEY ST, NEWFARM, BRISBANE	0.3	-0.5	29/01/2013 11:00:00 AM
101 A KINGSFORD SMITH DR, HAMILTON, BRISBANE	2.2	-1.4	29/01/2013 11:00:00 AM
101 AITCHESON ST, MOGGILL, BRISBANE	1.8	-12.1	29/01/2013 3:10:00 AM
101 BARTON RD, HAWTHORNE, BRISBANE	0.5	-0.7	29/01/2013 11:00:00 AM
101 BRISBANE CSO, FAIRFIELD, BRISBANE	2.5	-2.4	29/01/2013 10:15:00 AM
101 CANBERRA ST, HEMMANT, BRISBANE	0	-0.6	29/01/2013 11:00:00 AM
101 COLLEGE RD, KARANADOWNS, BRISBANE	0.7	-24.6	29/01/2013 6:55:00 PM
101 EAGLE FARM RD, PINKENBA, BRISBANE	1.5	-12.4	29/01/2013 11:00:00 AM
101 GRAFTON ST, WINDSOR, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM
101 KING ARTHUR TCE, TENNYSON, BRISBANE	3.9	-7.4	29/01/2013 9:50:00 AM
101 LATHER RD, BELLBOWRIE, BRISBANE	6	-15.6	29/01/2013 7:05:00 AM
101 LAYFIELD RD, ANSTEAD, BRISBANE	1.9	-11.7	29/01/2013 7:15:00 AM
101 LEYBOURNE ST, CHELMER, BRISBANE	0.2	-2.7	29/01/2013 9:40:00 AM
101 LINKS AVE, HAMILTON, BRISBANE	0.4	-1.6	29/01/2013 11:00:00 AM
101 MCBRIDE RD, PINKENBA, BRISBANE	0.6	-0.7	29/01/2013 11:00:00 AM
101 MERTHYR RD, NEWFARM, BRISBANE	0.5	-1.1	29/01/2013 11:00:00 AM
101 MUNRO ST, STLUCIA, BRISBANE	1.1	-1.5	29/01/2013 10:25:00 AM
101 PRATTEN ST, CORINDA, BRISBANE	2.6	-4.7	29/01/2013 9:50:00 AM
101 PRESTON RD, CARINA, BRISBANE	2	-1.4	29/01/2013 11:00:00 AM
